职位,公司,薪资,年薪,城市,区域,经验,学历,公司性质,公司规模,标签
python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Python并发框架
Python开发(框架开发),软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,经验不限,本科,民营,10000人以上,Python
python开发工程师 (可实习),北京柏睿数据技术股份有限公司,6千-1万,12,上海,浦东,1-3年,本科,民营,100-299人,Python web框架.前端开发.后端开发.PostgreSQL
python爬虫工程师,世唐云科(北京)科技有限公司,1.8万-1.9万,12,上海,浦东,经验不限,学历不限,,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发工程师,上海保携智能科技有限公司,6千-1万 · 14薪, 14,上海,黄浦,经验不限,学历不限,民营,20-99人,Python.Scrapy.python爬虫.XPath
Python开发工程师,润和软件,1万-1.5万,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python 开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-2.4万,12,上海,闵行,3-5年,大专,民营,10000人以上,Flask.Django.POSTGRES
Python全栈开发,上海禾楷电气科技有限公司,1.2万-1.9万,12,上海,未知,3-5年,本科,民营,20-99人,Python.全栈.后端开发.Django.前端开发
开发工程师(python)(J10095),上海毕得医药科技股份有限公司,1.4万-2万,12,上海,杨浦,3-5年,本科,民营,500-999人,Python
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
Python开发工程师,上海乐辰生物科技有限公司,1.2万-1.8万,12,上海,宝山,1-3年,本科,民营,20-99人,
python开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,3-5年,本科,民营,100-299人,Python web框架.后端开发
python开发工程师,北京神州数字科技有限公司,1.3万-1.5万,12,上海,浦东,3-5年,本科,上市公司,10000人以上,Python web框架
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
Python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Django.Flask
python开发,软通动力信息技术(集团)股份有限公司,1.1万-1.5万,12,上海,浦东,1-3年,本科,民营,10000人以上,Sql.Scrapy.MySQL.Redis.PYTHON3.Django.Tornado
Python开发工程师,上海汇中细胞生物科技有限公司,1万-1.5万,12,上海,松江,3-5年,大专,民营,20-99人,MySQL.C.PHP.第三方API.Javascript
Python自动化开发,中电金信软件有限公司,1.3万-1.5万,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python开发工程师(双休+五险一金）,深圳市法本信息技术股份有限公司,1.5万-2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python并发框架
python软件工程师,上海凯来仪器有限公司,1.1万-2万 · 14薪, 14,上海,浦东,3-5年,本科,民营,20-99人,Python并发框架.Python可视化库.后端开发.图形图像处理
Python后端工程师,中富通,1.5万-2.5万 · 13薪, 13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
python爬虫工程师,深圳市法本信息技术股份有限公司,1.5万-2.5万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,
python开发工程师,上海从开网络科技有限公司,1.2万-1.7万,12,上海,浦东,3-5年,大专,民营,100-299人,Python web框架.Python并发框架.后端开发
Python开发（RPA项目+学信大专）,上海锐赢,1万-1.7万,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python测试/python开发,软通动力信息技术(集团)股份有限公司,1万-2万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
python后端开发工程师,浙江云矩阵信息科技有限公司,1万-1.7万,12,上海,浦东,3-5年,本科,民营,300-499人,NumPy.数据结构.审核优化
python开发工程师,北京鼎薪科技有限公司,1.5万-3万 · 16薪, 16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师（上海）,上海晨钦信息科技服务有限公司,1.6万-2.2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python爬虫框架.Python并发框架.后端开发
python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Python并发框架
Python开发(框架开发),软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,经验不限,本科,民营,10000人以上,Python
python开发工程师 (可实习),北京柏睿数据技术股份有限公司,6千-1万,12,上海,浦东,1-3年,本科,民营,100-299人,Python web框架.前端开发.后端开发.PostgreSQL
python爬虫工程师,世唐云科(北京)科技有限公司,1.8万-1.9万,12,上海,浦东,经验不限,学历不限,,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发工程师,上海保携智能科技有限公司,6千-1万 · 14薪, 14,上海,黄浦,经验不限,学历不限,民营,20-99人,Python.Scrapy.python爬虫.XPath
Python开发工程师,润和软件,1万-1.5万,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python 开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-2.4万,12,上海,闵行,3-5年,大专,民营,10000人以上,Flask.Django.POSTGRES
Python全栈开发,上海禾楷电气科技有限公司,1.2万-1.9万,12,上海,未知,3-5年,本科,民营,20-99人,Python.全栈.后端开发.Django.前端开发
开发工程师(python)(J10095),上海毕得医药科技股份有限公司,1.4万-2万,12,上海,杨浦,3-5年,本科,民营,500-999人,Python
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
Python开发工程师,上海乐辰生物科技有限公司,1.2万-1.8万,12,上海,宝山,1-3年,本科,民营,20-99人,
python开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,3-5年,本科,民营,100-299人,Python web框架.后端开发
python开发工程师,北京神州数字科技有限公司,1.3万-1.5万,12,上海,浦东,3-5年,本科,上市公司,10000人以上,Python web框架
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
Python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Django.Flask
python开发,软通动力信息技术(集团)股份有限公司,1.1万-1.5万,12,上海,浦东,1-3年,本科,民营,10000人以上,Sql.Scrapy.MySQL.Redis.PYTHON3.Django.Tornado
Python开发工程师,上海汇中细胞生物科技有限公司,1万-1.5万,12,上海,松江,3-5年,大专,民营,20-99人,MySQL.C.PHP.第三方API.Javascript
Python自动化开发,中电金信软件有限公司,1.3万-1.5万,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python开发工程师(双休+五险一金）,深圳市法本信息技术股份有限公司,1.5万-2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python并发框架
python软件工程师,上海凯来仪器有限公司,1.1万-2万 · 14薪, 14,上海,浦东,3-5年,本科,民营,20-99人,Python并发框架.Python可视化库.后端开发.图形图像处理
Python后端工程师,中富通,1.5万-2.5万 · 13薪, 13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
python爬虫工程师,深圳市法本信息技术股份有限公司,1.5万-2.5万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,
python开发工程师,上海从开网络科技有限公司,1.2万-1.7万,12,上海,浦东,3-5年,大专,民营,100-299人,Python web框架.Python并发框架.后端开发
Python开发（RPA项目+学信大专）,上海锐赢,1万-1.7万,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python测试/python开发,软通动力信息技术(集团)股份有限公司,1万-2万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
python后端开发工程师,浙江云矩阵信息科技有限公司,1万-1.7万,12,上海,浦东,3-5年,本科,民营,300-499人,NumPy.数据结构.审核优化
python开发工程师,北京鼎薪科技有限公司,1.5万-3万 · 16薪, 16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师（上海）,上海晨钦信息科技服务有限公司,1.6万-2.2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python爬虫框架.Python并发框架.后端开发
python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Python并发框架
Python开发(框架开发),软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,经验不限,本科,民营,10000人以上,Python
python开发工程师 (可实习),北京柏睿数据技术股份有限公司,6千-1万,12,上海,浦东,1-3年,本科,民营,100-299人,Python web框架.前端开发.后端开发.PostgreSQL
python爬虫工程师,世唐云科(北京)科技有限公司,1.8万-1.9万,12,上海,浦东,经验不限,学历不限,,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发工程师,上海保携智能科技有限公司,6千-1万 · 14薪, 14,上海,黄浦,经验不限,学历不限,民营,20-99人,Python.Scrapy.python爬虫.XPath
Python开发工程师,润和软件,1万-1.5万,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python 开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-2.4万,12,上海,闵行,3-5年,大专,民营,10000人以上,Flask.Django.POSTGRES
Python全栈开发,上海禾楷电气科技有限公司,1.2万-1.9万,12,上海,未知,3-5年,本科,民营,20-99人,Python.全栈.后端开发.Django.前端开发
开发工程师(python)(J10095),上海毕得医药科技股份有限公司,1.4万-2万,12,上海,杨浦,3-5年,本科,民营,500-999人,Python
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
Python开发工程师,上海乐辰生物科技有限公司,1.2万-1.8万,12,上海,宝山,1-3年,本科,民营,20-99人,
python开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,3-5年,本科,民营,100-299人,Python web框架.后端开发
python开发工程师,北京神州数字科技有限公司,1.3万-1.5万,12,上海,浦东,3-5年,本科,上市公司,10000人以上,Python web框架
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
Python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Django.Flask
python开发,软通动力信息技术(集团)股份有限公司,1.1万-1.5万,12,上海,浦东,1-3年,本科,民营,10000人以上,Sql.Scrapy.MySQL.Redis.PYTHON3.Django.Tornado
Python开发工程师,上海汇中细胞生物科技有限公司,1万-1.5万,12,上海,松江,3-5年,大专,民营,20-99人,MySQL.C.PHP.第三方API.Javascript
Python自动化开发,中电金信软件有限公司,1.3万-1.5万,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python开发工程师(双休+五险一金）,深圳市法本信息技术股份有限公司,1.5万-2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python并发框架
python软件工程师,上海凯来仪器有限公司,1.1万-2万 · 14薪, 14,上海,浦东,3-5年,本科,民营,20-99人,Python并发框架.Python可视化库.后端开发.图形图像处理
Python后端工程师,中富通,1.5万-2.5万 · 13薪, 13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
python爬虫工程师,深圳市法本信息技术股份有限公司,1.5万-2.5万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,
python开发工程师,上海从开网络科技有限公司,1.2万-1.7万,12,上海,浦东,3-5年,大专,民营,100-299人,Python web框架.Python并发框架.后端开发
Python开发（RPA项目+学信大专）,上海锐赢,1万-1.7万,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python测试/python开发,软通动力信息技术(集团)股份有限公司,1万-2万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
python后端开发工程师,浙江云矩阵信息科技有限公司,1万-1.7万,12,上海,浦东,3-5年,本科,民营,300-499人,NumPy.数据结构.审核优化
python开发工程师,北京鼎薪科技有限公司,1.5万-3万 · 16薪, 16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师（上海）,上海晨钦信息科技服务有限公司,1.6万-2.2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python爬虫框架.Python并发框架.后端开发
python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Python并发框架
Python开发(框架开发),软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,经验不限,本科,民营,10000人以上,Python
python开发工程师 (可实习),北京柏睿数据技术股份有限公司,6千-1万,12,上海,浦东,1-3年,本科,民营,100-299人,Python web框架.前端开发.后端开发.PostgreSQL
python爬虫工程师,世唐云科(北京)科技有限公司,1.8万-1.9万,12,上海,浦东,经验不限,学历不限,,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发工程师,上海保携智能科技有限公司,6千-1万 · 14薪, 14,上海,黄浦,经验不限,学历不限,民营,20-99人,Python.Scrapy.python爬虫.XPath
Python开发工程师,润和软件,1万-1.5万,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python 开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-2.4万,12,上海,闵行,3-5年,大专,民营,10000人以上,Flask.Django.POSTGRES
Python全栈开发,上海禾楷电气科技有限公司,1.2万-1.9万,12,上海,未知,3-5年,本科,民营,20-99人,Python.全栈.后端开发.Django.前端开发
开发工程师(python)(J10095),上海毕得医药科技股份有限公司,1.4万-2万,12,上海,杨浦,3-5年,本科,民营,500-999人,Python
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
Python开发工程师,上海乐辰生物科技有限公司,1.2万-1.8万,12,上海,宝山,1-3年,本科,民营,20-99人,
python开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,3-5年,本科,民营,100-299人,Python web框架.后端开发
python开发工程师,北京神州数字科技有限公司,1.3万-1.5万,12,上海,浦东,3-5年,本科,上市公司,10000人以上,Python web框架
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
Python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Django.Flask
python开发,软通动力信息技术(集团)股份有限公司,1.1万-1.5万,12,上海,浦东,1-3年,本科,民营,10000人以上,Sql.Scrapy.MySQL.Redis.PYTHON3.Django.Tornado
Python开发工程师,上海汇中细胞生物科技有限公司,1万-1.5万,12,上海,松江,3-5年,大专,民营,20-99人,MySQL.C.PHP.第三方API.Javascript
Python自动化开发,中电金信软件有限公司,1.3万-1.5万,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
python开发工程师(双休+五险一金）,深圳市法本信息技术股份有限公司,1.5万-2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python并发框架
python软件工程师,上海凯来仪器有限公司,1.1万-2万 · 14薪, 14,上海,浦东,3-5年,本科,民营,20-99人,Python并发框架.Python可视化库.后端开发.图形图像处理
Python后端工程师,中富通,1.5万-2.5万 · 13薪, 13,上海,杨浦,3-5年,本科,上市公司,1000-9999人,Python.TypeScript.Django.Flask.MySQL
python爬虫工程师,深圳市法本信息技术股份有限公司,1.5万-2.5万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,
python开发工程师,上海从开网络科技有限公司,1.2万-1.7万,12,上海,浦东,3-5年,大专,民营,100-299人,Python web框架.Python并发框架.后端开发
Python开发（RPA项目+学信大专）,上海锐赢,1万-1.7万,12,上海,浦东,1-3年,大专,民营,20-99人,Python web框架.Python爬虫框架
python测试/python开发,软通动力信息技术(集团)股份有限公司,1万-2万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python.PyCharm.Linux.数据库.后端开发.TCP/IP
python后端开发工程师,浙江云矩阵信息科技有限公司,1万-1.7万,12,上海,浦东,3-5年,本科,民营,300-499人,NumPy.数据结构.审核优化
python开发工程师,北京鼎薪科技有限公司,1.5万-3万 · 16薪, 16,上海,浦东,3-5年,本科,民营,20-99人,Python.R语言.Java.SQL.网络爬虫技术.爬虫.数据结构.算法
Python开发工程师（上海）,上海晨钦信息科技服务有限公司,1.6万-2.2万,12,上海,浦东,3-5年,本科,上市公司,1000-9999人,Python web框架.Python爬虫框架.Python并发框架.后端开发
python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Python并发框架
Python开发(框架开发),软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,经验不限,本科,民营,10000人以上,Python
python开发工程师 (可实习),北京柏睿数据技术股份有限公司,6千-1万,12,上海,浦东,1-3年,本科,民营,100-299人,Python web框架.前端开发.后端开发.PostgreSQL
python爬虫工程师,世唐云科(北京)科技有限公司,1.8万-1.9万,12,上海,浦东,经验不限,学历不限,,20人以下,Python.Java.数据挖掘.数据采集.爬虫开发.反爬虫.分布式爬虫.数据清洗
python后端开发工程师(智能汽车）,软通动力信息技术(集团)股份有限公司,1.2万-1.8万,12,上海,浦东,1-3年,本科,民营,10000人以上,Python web框架.Python并发框架.后端开发.Django
python开发工程师(A89066),中科创达软件股份有限公司,1.5万-2.5万,12,上海,嘉定,3-5年,大专,合资,1000-9999人,Pandas.NumPy.PIPELINE
Python开发工程师,上海保携智能科技有限公司,6千-1万 · 14薪, 14,上海,黄浦,经验不限,学历不限,民营,20-99人,Python.Scrapy.python爬虫.XPath
Python开发工程师,润和软件,1万-1.5万,12,上海,浦东,经验不限,本科,上市公司,1000-9999人,Shell.Django
Python 开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-2.4万,12,上海,闵行,3-5年,大专,民营,10000人以上,Flask.Django.POSTGRES
Python全栈开发,上海禾楷电气科技有限公司,1.2万-1.9万,12,上海,未知,3-5年,本科,民营,20-99人,Python.全栈.后端开发.Django.前端开发
开发工程师(python)(J10095),上海毕得医药科技股份有限公司,1.4万-2万,12,上海,杨浦,3-5年,本科,民营,500-999人,Python
Python开发（应届生可培养+线上面试）,软通动力信息技术(集团)股份有限公司,1万-1.6万,12,上海,浦东,1-3年,本科,民营,10000人以上,后端开发.Python web框架.Python并发框架.Django.PYTHON开发
Python开发工程师,上海乐辰生物科技有限公司,1.2万-1.8万,12,上海,宝山,1-3年,本科,民营,20-99人,
python开发工程师,合肥吾恒信息科技有限公司,1.5万-2万,12,上海,嘉定,3-5年,本科,民营,100-299人,Python web框架.后端开发
python开发工程师,北京神州数字科技有限公司,1.3万-1.5万,12,上海,浦东,3-5年,本科,上市公司,10000人以上,Python web框架
Python开发工程师,上海智匠鑫网络科技有限公司,1.5万-1.7万,12,上海,未知,1-3年,大专,,20-99人,Python web框架.Python并发框架
Python开发工程师,中软国际,面议,12,上海,浦东,1-3年,本科,上市公司,10000人以上,Django.Flask
python开发,软通动力信息技术(集团)股份有限公司,1.1万-1.5万,12,上海,浦东,1-3年,本科,民营,10000人以上,Sql.Scrapy.MySQL.Redis.PYTHON3.Django.Tornado
Python开发工程师,上海汇中细胞生物科技有限公司,1万-1.5万,12,上海,松江,3-5年,大专,民营,20-99人,MySQL.C.PHP.第三方API.Javascript
Python自动化开发,中电金信软件有限公司,1.3万-1.5万,12,上海,闵行,1-3年,本科,国企,10000人以上,Python web框架.后端开发.自动化测试.测试开发.Python
